"","scorer","team","goals","penalties","first_match","last_match","country_flag"
"91","Armisa Kuč","Montenegro",23,0,"2024-04-09","2024-07-12","🇲🇪"
"92","Kelly Smith","England",23,0,"2007-09-11","2009-09-10","🇬🇧"
"93","Kátia Cilene Teixeira","Brazil",23,1,"1996-07-23","2003-09-27","🇧🇷"
"94","Lauren James","England",23,0,"2023-07-28","2025-07-09","🇬🇧"
"95","Lisa De Vanna","Australia",23,0,"2004-08-20","2016-08-09","🇦🇺"
"96","Slađana Bulatović","Montenegro",23,4,"2024-04-05","2024-07-16","🇲🇪"
"97","Medina Dešić","Montenegro",22,0,"2024-04-05","2024-06-04","🇲🇪"
"98","Sophie Román Haug","Norway",22,0,"2023-07-30","2024-04-05","🇳🇴"
"99","Diana Silva","Portugal",21,0,"2022-07-13","2024-12-03","🇵🇹"
"100","Hinata Miyazawa","Japan",21,0,"2023-07-22","2023-08-05","🇯🇵"
"101","Marta Vieira da Silva","Brazil",21,0,"2004-08-11","2008-08-18","🇧🇷"
"102","Nilla Fischer","Sweden",21,0,"2008-08-09","2016-08-03","🇸🇪"
"103","Angie Ponce","Switzerland",20,0,"2015-06-12","2015-06-12","🇨🇭"
"104","April Heinrichs","United States",20,0,"1991-11-19","1991-11-27","🇺🇸"
"105","Filippa Angeldal","Sweden",20,1,"2024-10-25","2024-10-29","🇸🇪"
"106","Grace Geyoro","France",20,1,"2022-07-10","2025-07-19","🇫🇷"
"107","Julie Foudy","United States",20,1,"1991-11-24","2003-09-25","🇺🇸"
"108","Kaja Korošec","Slovenia",20,0,"2024-04-09","2024-07-16","🇸🇮"
"109","Kateřina Svitková","Czech Republic",20,1,"2024-07-12","2024-12-03","❓"
"110","Mariona Caldentey","Spain",20,3,"2022-07-08","2025-07-27","🇪🇸"
"111","Tisha Venturini","United States",20,0,"1995-06-06","1999-06-27","🇺🇸"
"112","Špela Kolbl","Slovenia",20,0,"2024-04-09","2024-07-12","🇸🇮"
"113","Alanna Kennedy","Australia",19,0,"2016-08-09","2024-07-31","🇦🇺"
"114","Filippa Angeldahl","Sweden",19,2,"2022-07-17","2025-07-04","🇸🇪"
"115","Gitte Krogh","Denmark",19,1,"1995-06-06","2001-06-28","🇩🇰"
"116","Heather O'Reilly","United States",19,0,"2004-08-23","2011-07-02","🇺🇸"
"117","Lina Hurtig","Sweden",19,0,"2019-06-16","2025-07-12","🇸🇪"
"118","Shanice van de Sanden","Netherlands",19,0,"2017-07-16","2021-07-27","🇳🇱"
"119","Tessa Wullaert","Belgium",19,0,"2017-07-24","2025-07-11","🇧🇪"
"120","Antigoni Papadopoulou","Greece",18,0,"2024-07-12","2024-07-12","🇬🇷"
"121","Gaëlle Enganamouit","Cameroon",18,1,"2015-06-08","2015-06-08","🇨🇲"
"122","Johanna Rytting Kaneryd","Sweden",18,0,"2024-05-31","2024-10-29","🇸🇪"
"123","Kamila Dubcová","Czech Republic",18,1,"2024-05-31","2024-10-25","❓"
"124","Michelle Heyman","Australia",18,0,"2016-08-09","2024-07-28","🇦🇺"
"125","Mio Otani","Japan",18,0,"2003-09-20","2003-09-20","🇯🇵"
"126","Shi Guihong","China PR",18,0,"1995-06-08","1996-07-23","🇨🇳"
"127","Sun Qingmei","China PR",18,0,"1991-11-16","1996-07-28","🇨🇳"
"128","Wang Shuang","China PR",18,3,"2021-07-24","2023-08-01","🇨🇳"
"129","Cindy Parlow Cone","United States",17,0,"1999-06-24","2003-09-25","🇺🇸"
"130","Ella Toone","England",17,0,"2022-07-20","2025-07-13","🇬🇧"
"131","Esmee Brugts","Netherlands",17,0,"2023-08-01","2025-07-05","🇳🇱"
"132","Lise Klaveness","Norway",17,0,"2005-06-12","2007-09-20","🇳🇴"
"133","Racheal Kundananji","Zambia",17,0,"2021-07-24","2024-07-28","🇿🇲"
"134","Signe Gaupset","Norway",17,0,"2024-10-29","2025-07-10","🇳🇴"
"135","Steph Catley","Australia",17,3,"2023-07-20","2024-07-28","🇦🇺"
"136","Tina Svensson","Norway",17,4,"1991-11-21","1995-06-06","🇳🇴"
"137","Daniela Alves Lima","Brazil",16,0,"2003-09-24","2007-09-12","🇧🇷"
"138","Fara Williams","England",16,6,"2005-06-08","2015-07-04","🇬🇧"
"139","Hayley Raso","Australia",16,0,"2023-07-31","2024-07-28","🇦🇺"
"140","Jasna Đoković","Montenegro",16,0,"2024-04-05","2024-06-04","🇲🇪"
"141","Jess Fishlock","Wales",16,0,"2024-04-05","2025-07-09","🇬🇧"
"142","Katie McCabe","Republic of Ireland",16,1,"2023-07-26","2024-10-29","🇮🇪"
"143","Pia Wunderlich","Germany",16,0,"1996-07-25","2004-08-11","🇩🇪"
"144","Rachel Rowe","Wales",16,0,"2024-04-05","2024-04-09","🇬🇧"
"145","Alba Redondo","Spain",15,0,"2023-07-26","2023-08-05","🇪🇸"
"146","Aya Miyama","Japan",15,3,"2007-09-11","2015-07-01","🇯🇵"
"147","Delphine Cascarino","France",15,0,"2022-07-10","2025-07-13","🇫🇷"
"148","Fatmire Bajramaj","Germany",15,0,"2008-08-21","2009-09-07","🇩🇪"
"149","Irene Paredes","Spain",15,0,"2022-07-08","2025-07-07","🇪🇸"
"150","Kyah Simon","Australia",15,0,"2011-07-06","2016-08-09","🇦🇺"
"151","Mallory Pugh","United States",15,0,"2016-08-09","2019-06-11","🇺🇸"
"152","Melissa Tancredi","Canada",15,0,"2007-09-20","2016-08-09","🇨🇦"
"153","Sandra Minnert","Germany",15,0,"1997-07-12","2005-06-12","🇩🇪"
"154","Sophia Smith","United States",15,0,"2023-07-22","2024-08-06","🇺🇸"
"155","Victoria Sandell Svensson","Sweden",15,1,"1997-07-02","2009-09-04","🇸🇪"
"156","Amanda Ilestedt","Sweden",14,0,"2023-07-23","2023-08-11","🇸🇪"
"157","Angela Hucles","United States",14,0,"2008-08-12","2008-08-18","🇺🇸"
"158","Ellen White","Great Britain",14,0,"2021-07-21","2021-07-30","❓"
"159","Ewa Pajor","Poland",14,1,"2024-10-25","2025-07-12","🇵🇱"
"160","Fran Kirby","England",14,0,"2015-06-13","2022-07-26","🇬🇧"
"161","Giulia Gwinn","Germany",14,3,"2019-06-08","2024-08-09","🇩🇪"
"162","Guro Bergsvand","Norway",14,0,"2024-10-25","2024-11-29","🇳🇴"
"163","Helle Jensen","Denmark",14,0,"1991-07-14","1996-07-25","🇩🇰"
"164","Jenni Hermoso","Spain",14,0,"2024-04-05","2024-08-03","🇪🇸"
"165","Jill Scott","England",14,0,"2007-09-17","2019-06-27","🇬🇧"
"166","Joy Fawcett","United States",14,0,"1991-11-24","1999-07-01","🇺🇸"
"167","Linda Ørmen","Norway",14,0,"2003-09-27","2003-09-27","🇳🇴"
"168","Malin Andersson","Sweden",14,3,"1995-03-26","2003-10-01","🇸🇪"
"169","Melanie Leupolz","Germany",14,0,"2015-06-15","2019-06-17","🇩🇪"
"170","Mina Tanaka","Japan",14,0,"2021-07-27","2024-07-31","🇯🇵"
"171","Miraildes Maciel Mota","Brazil",14,0,"2004-08-20","2008-08-18","🇧🇷"
"172","Nina Matejić","Serbia",14,0,"2024-06-04","2024-10-29","🇷🇸"
"173","Sophia Koggouli","Greece",14,0,"2024-06-04","2024-07-12","🇬🇷"
"174","Wei Haiying","China PR",14,0,"1991-11-19","1996-07-28","🇨🇳"
"175","Zhang Ouying","China PR",14,0,"1999-06-23","1999-06-23","🇨🇳"
"176","Élodie Thomis","France",14,0,"2011-06-30","2015-06-21","🇫🇷"
"177","Amalie Vangsgaard","Denmark",13,0,"2023-07-22","2025-07-08","🇩🇰"
"178","Camille Abily","France",13,1,"2009-08-24","2017-07-26","🇫🇷"
"179","Claire Emslie","Scotland",13,0,"2019-06-09","2024-07-12","🇬🇧"
"180","Daniëlle van de Donk","Netherlands",13,0,"2017-08-03","2023-08-01","🇳🇱"
"181","Lucy Bronze","England",13,0,"2015-06-22","2025-07-17","🇬🇧"
"182","Marinette Pichon","France",13,0,"2001-06-28","2005-06-06","🇫🇷"
"183","Nataša Andonova","North Macedonia",13,1,"2024-04-05","2024-07-12","🇲🇰"
"184","Olga Letyushova","Russia",13,0,"1999-06-23","2003-09-25","🇷🇺"
"185","Shinobu Ohno","Japan",13,0,"2008-08-12","2012-08-03","🇯🇵"
"186","Amandine Henry","France",12,0,"2015-06-17","2019-06-23","🇫🇷"
"187","Ary Borges","Brazil",12,0,"2023-07-24","2023-07-24","🇧🇷"
"188","Aurora Galli","Italy",12,0,"2019-06-14","2019-06-25","🇮🇹"
"189","Elise Hughes","Wales",12,0,"2024-04-09","2024-04-09","🇬🇧"
"190","Ella Van Kerkhoven","Belgium",12,0,"2024-10-29","2024-11-29","🇧🇪"
"191","Helen Nilsson","Sweden",12,0,"1991-11-19","1991-11-29","🇸🇪"
"192","Janine Beckie","Canada",12,0,"2016-08-03","2021-07-24","🇨🇦"
"193","Jovana Damnjanović","Serbia",12,0,"2024-04-09","2024-06-04","🇷🇸"
"194","Karen Carney","England",12,0,"2005-06-05","2015-06-17","🇬🇧"
"195","Kayleigh Green","Wales",12,3,"2024-04-09","2024-07-12","🇬🇧"
"196","Lina Magull","Germany",12,0,"2019-06-17","2022-07-31","🇩🇪"
"197","Natalia Padilla","Poland",12,0,"2024-05-31","2025-07-12","🇵🇱"
"198","Patrizia Panico","Italy",12,0,"1997-07-03","2009-09-04","🇮🇹"
"199","Shannon Boxx","United States",12,0,"2003-09-21","2007-09-22","🇺🇸"
"200","Shannon MacMillan","United States",12,0,"1996-07-23","2000-09-20","🇺🇸"
"201","Veatriki Sarri","Greece",12,2,"2024-04-05","2024-07-12","🇬🇷"
"202","Zhao Lihong","China PR",12,0,"1996-07-21","2000-09-14","🇨🇳"
"203","Beatriz Zaneratto João","Brazil",11,0,"2016-08-06","2016-08-19","🇧🇷"
"204","Carole Costa","Portugal",11,3,"2022-07-13","2024-05-31","🇵🇹"
"205","Catalina Usme","Colombia",11,2,"2015-06-13","2024-07-25","🇨🇴"
"206","Christen Press","United States",11,0,"2015-06-08","2021-07-24","🇺🇸"
"207","Eileen Campbell","Austria",11,0,"2024-04-05","2024-07-12","🇦🇹"
"208","Eniola Aluko","England",11,0,"2009-08-28","2013-07-12","🇬🇧"
"209","Gaëtane Thiney","France",11,0,"2009-08-27","2012-07-25","🇫🇷"
"210","Jin Yan","China PR",11,0,"1999-06-19","1999-06-30","🇨🇳"
"211","Mallory Swanson","United States",11,0,"2024-07-25","2024-08-10","🇺🇸"
"212","Melania Gabbiadini","Italy",11,0,"2005-06-12","2013-07-16","🇮🇹"
"213","Nina Kajzba","Slovenia",11,0,"2024-04-09","2024-05-31","🇸🇮"
"214","Sarah Puntigam","Austria",11,4,"2024-04-09","2024-10-29","🇦🇹"
"215","Angélique Roujas","France",10,0,"1997-06-29","1997-07-02","🇫🇷"
"216","Caitlin Foord","Australia",10,0,"2016-08-06","2023-08-07","🇦🇺"
"217","Chloe Kelly","England",10,0,"2022-07-31","2025-07-22","🇬🇧"
"218","Elena Fomina","Russia",10,0,"1999-06-26","2003-09-21","🇷🇺"
"219","Eseosa Aigbogun","Switzerland",10,0,"2015-06-12","2015-06-12","🇨🇭"
"220","Eva Bartoňová","Czech Republic",10,1,"2024-07-12","2024-10-25","❓"
"221","Fan Yunjie","China PR",10,0,"1996-07-23","1999-07-04","🇨🇳"
"222","Gabrielle Onguéné","Cameroon",10,1,"2012-07-31","2019-06-15","🇨🇲"
"223","Hanna Bennison","Sweden",10,0,"2022-07-13","2024-12-03","🇸🇪"
"224","Josefine Öqvist","Sweden",10,0,"2003-10-05","2013-07-21","🇸🇪"
"225","Jule Brand","Germany",10,0,"2024-07-16","2025-07-12","🇩🇪"
"226","Kinga Siklér","Hungary",10,0,"2024-07-12","2024-07-12","🇭🇺"
"227","Lauren Holiday","United States",10,0,"2011-06-28","2015-07-05","🇺🇸"
"228","Linda Sembrant","Sweden",10,0,"2015-06-08","2022-07-22","🇸🇪"
"229","Lisa Dahlkvist","Sweden",10,1,"2011-07-02","2012-07-25","🇸🇪"
"230","Louisa Cadamuro","France",10,1,"2009-08-24","2016-08-09","🇫🇷"
"231","Lucía García","Spain",10,0,"2019-06-08","2024-06-04","🇪🇸"
"232","Martina Moser","Switzerland",10,0,"2015-06-12","2015-06-12","🇨🇭"
"233","Renata Costa","Brazil",10,0,"2007-09-12","2012-07-25","🇧🇷"
"234","Susan Mackensie","Denmark",10,1,"1991-11-17","1993-07-03","🇩🇰"
"235","Sveindís Jane Jónsdóttir","Iceland",10,0,"2024-04-05","2025-07-10","🇮🇸"
"236","Ursula Lohn","Germany",10,0,"1989-07-02","1995-06-07","🇩🇪"
"237","Ana Capeta","Portugal",9,0,"2024-04-09","2024-10-25","🇵🇹"
"238","Andrea Stašková","Czech Republic",9,0,"2024-04-05","2024-10-25","❓"
"239","Andressa Alves","Brazil",9,1,"2016-08-03","2021-07-27","🇧🇷"
"240","Ane Stangeland Horpestad","Norway",9,1,"2007-09-12","2007-09-20","🇳🇴"
"241","Bia Zaneratto","Brazil",9,0,"2021-07-21","2023-07-24","🇧🇷"
"242","Brit Sandaune","Norway",9,0,"1999-06-20","2003-09-27","🇳🇴"
"243","Christine Latham","Canada",9,0,"2003-09-24","2003-09-27","🇨🇦"
"244","Célia Okoyino da Mbabi","Germany",9,0,"2009-09-07","2013-07-14","🇩🇪"
"245","Debinha","Brazil",9,0,"2021-07-21","2023-07-29","🇧🇷"
"246","Dzsenifer Marozsán","Germany",9,1,"2013-07-24","2017-07-25","🇩🇪"
"247","Jin Pyol-hui","North Korea",9,0,"1999-06-24","2003-09-20","🇰🇵"
"248","Kyra Carusa","Republic of Ireland",9,0,"2024-10-25","2024-10-29","🇮🇪"
"249","Laura Georges","France",9,0,"2011-07-05","2012-08-03","🇫🇷"
"250","Linda Bresonik","Germany",9,2,"2009-08-24","2009-08-27","🇩🇪"
"251","Linda Sällström","Finland",9,0,"2009-09-03","2024-10-29","🇫🇮"
"252","Lisa Naalsund","Norway",9,0,"2024-10-29","2024-10-29","🇳🇴"
"253","Lori Chalupny","United States",9,0,"2007-09-18","2008-08-18","🇺🇸"
"254","Riko Ueki","Japan",9,1,"2023-07-22","2023-07-31","🇯🇵"
"255","Silvia Neid","Germany",9,0,"1989-06-28","1995-06-05","🇩🇪"
"256","Steffi Jones","Germany",9,0,"1999-06-27","2005-06-09","🇩🇪"
"257","Tijana Filipović","Serbia",9,0,"2024-04-09","2024-10-29","🇷🇸"
"258","Toni Duggan","England",9,0,"2013-07-15","2017-07-27","🇬🇧"
"259","Vilde Bøe Risa","Norway",9,1,"2024-10-29","2024-10-29","🇳🇴"
"260","Viola Calligaris","Switzerland",9,0,"2024-04-05","2024-07-16","🇨🇭"
"261","Ștefania Vătafu","Romania",9,0,"2024-04-05","2024-06-04","🇷🇴"
"262","Aida Gaistenova","Kazakhstan",8,0,"2024-06-04","2024-06-04","🇰🇿"
"263","Amel Majri","France",8,0,"2016-08-03","2025-07-09","🇫🇷"
"264","Anastasia Spyridonidou","Greece",8,0,"2024-04-09","2024-07-16","🇬🇷"
"265","Andrea Herczeg","Romania",8,0,"2024-04-05","2024-06-04","🇷🇴"
"266","Anna Anvegård","Sweden",8,0,"2021-07-27","2024-12-03","🇸🇪"
"267","Annike Krahn","Germany",8,0,"2007-09-22","2009-08-27","🇩🇪"
"268","Asisat Oshoala","Nigeria",8,0,"2015-06-08","2023-07-27","🇳🇬"
"269","Cidinha","Brazil",8,0,"1999-07-01","1999-07-01","🇧🇷"
"270","Cristiane Rozeira","Brazil",8,0,"2016-08-03","2016-08-06","🇧🇷"
"271","Erin Cuthbert","Scotland",8,0,"2017-07-23","2024-10-29","🇬🇧"
"272","Franny Černá","Czech Republic",8,0,"2024-10-25","2024-10-25","❓"
"273","Helen Johansson","Sweden",8,0,"1984-04-08","1995-02-26","🇸🇪"
"274","Janni Thomsen","Denmark",8,0,"2024-06-04","2025-07-12","🇩🇰"
"275","Julia Zigiotti Olme","Sweden",8,0,"2024-10-29","2024-10-29","🇸🇪"
"276","Karen Farley","England",8,0,"1994-12-11","1995-06-10","🇬🇧"
"277","Karlīna Miksone","Latvia",8,0,"2024-04-05","2024-07-16","🇱🇻"
"278","Leila Schmit","Sweden",8,0,"2024-10-29","2024-10-29","🇸🇪"
"279","Lena Petermann","Germany",8,0,"2015-06-15","2015-06-15","🇩🇪"
"280","Lene Storløkken","Norway",8,0,"2007-09-20","2009-08-30","🇳🇴"
"281","Lúcia Alves","Portugal",8,0,"2024-05-31","2024-05-31","🇵🇹"
"282","Madeleine Ngono Mani","Cameroon",8,0,"2015-06-08","2015-06-16","🇨🇲"
"283","Malin Lundgren","Sweden",8,0,"1991-11-19","1991-11-19","🇸🇪"
"284","Malin Moström","Sweden",8,0,"1999-06-30","2004-08-17","🇸🇪"
"285","Marie Hammarström","Sweden",8,0,"2011-07-16","2013-07-21","🇸🇪"
"286","Mary Fowler","Australia",8,0,"2021-07-30","2023-07-31","🇦🇺"
"287","Mercy Akide","Nigeria",8,0,"1999-06-20","2004-08-20","🇳🇬"
"288","Michaela Khýrová","Czech Republic",8,0,"2024-10-25","2024-10-25","❓"
"289","Mihaela Ciolacu","Romania",8,0,"2024-04-05","2024-07-16","🇷🇴"
"290","Milena Nikolić","Bosnia and Herzegovina",8,0,"2024-05-31","2024-10-29","❓"
"291","Nahomi Kawasumi","Japan",8,0,"2011-07-13","2012-07-25","🇯🇵"
"292","Natalia Barbashina","Russia",8,0,"1999-06-23","2003-09-25","🇷🇺"
"293","Pernille Harder","Denmark",8,1,"2017-08-06","2024-07-12","🇩🇰"
"294","Romée Leuchter","Netherlands",8,0,"2022-07-17","2022-07-17","🇳🇱"
"295","Rosana dos Santos Augusto","Brazil",8,0,"2003-09-24","2011-07-03","🇧🇷"
"296","Sayuri Yamaguchi","Sweden",8,0,"1991-11-19","1991-11-19","🇸🇪"
"297","Ulrika Kalte","Sweden",8,0,"1995-02-26","1995-06-13","🇸🇪"
"298","Zhou Yang","China PR",8,0,"1991-11-21","1995-06-08","🇨🇳"
"299","Ásla Johannesen","Faroe Islands",8,0,"2024-05-31","2024-07-16","🇫🇴"
"300","Agnete Carlsen","Norway",7,0,"1991-11-24","1991-11-27","🇳🇴"
"301","Ana-Maria Crnogorčević","Switzerland",7,0,"2015-06-16","2024-07-16","🇨🇭"
"302","Anastasiya Shlapakova","Belarus",7,0,"2024-04-05","2024-10-25","🇧🇾"
"303","Anne Dot Eggers Nielsen","Denmark",7,0,"1995-06-06","2007-09-12","🇩🇰"
"304","Ariane Hingst","Germany",7,0,"1999-06-24","2000-09-19","🇩🇪"
"305","Cathrine Paaske Sørensen","Denmark",7,0,"2005-06-08","2007-09-15","🇩🇰"
"306","Claudia Müller","Germany",7,0,"2001-06-23","2001-07-07","🇩🇪"
"307","Cristina Carp","Romania",7,0,"2024-04-09","2024-07-12","🇷🇴"
"308","Diana Gomes","Portugal",7,0,"2022-07-09","2025-07-07","🇵🇹"
"309","Elin Rubensson","Sweden",7,2,"2019-06-16","2023-08-02","🇸🇪"
"310","Emi Yamamoto","Japan",7,0,"2003-09-20","2004-08-20","🇯🇵"
"311","Ffion Morgan","Wales",7,0,"2024-04-09","2024-10-25","🇬🇧"
"312","Fortesa Berisha","Albania",7,0,"2024-04-09","2024-06-04","🇦🇱"
"313","Grazielle","Brazil",7,0,"2004-08-17","2004-08-17","🇧🇷"
"314","Heather Garriock","Australia",7,0,"2003-09-25","2007-09-12","🇦🇺"
"315","Heidi Støre","Norway",7,0,"1987-06-11","1997-06-30","🇳🇴"
"316","Ifeanyi Chiejine","United States",7,0,"1999-06-24","1999-06-24","🇺🇸"
"317","Jane Törnqvist","Sweden",7,0,"1999-06-23","2001-06-27","🇸🇪"
"318","Julie-Ann Russell","Republic of Ireland",7,0,"2024-07-12","2024-10-29","🇮🇪"
"319","Karina Olkhovik","Belarus",7,0,"2024-07-12","2024-07-16","🇧🇾"
"320","Katja Snoeijs","Netherlands",7,0,"2023-08-01","2023-08-01","🇳🇱"
"321","Kenza Dali","France",7,0,"2023-08-08","2024-07-25","🇫🇷"
"322","Lauren Wade","Northern Ireland",7,0,"2024-04-09","2024-10-29","🇬🇧"
"323","Luana Bühler","Switzerland",7,0,"2024-04-05","2024-04-09","🇨🇭"
"324","Nea Lehtola","Finland",7,0,"2024-10-29","2024-12-03","🇫🇮"
"325","Randi Leinan","Norway",7,0,"1995-06-10","1995-06-10","🇳🇴"
"326","Rita Nwadike","Nigeria",7,0,"1995-06-08","1999-06-20","🇳🇬"
"327","Sakina Karchaoui","France",7,1,"2024-07-12","2025-07-13","🇫🇷"
"328","Sheila García","Spain",7,0,"2024-04-05","2024-04-05","🇪🇸"
"329","Sherida Spitse","Netherlands",7,2,"2017-07-20","2017-08-06","🇳🇱"
"330","Silvana Burtini","Canada",7,0,"1995-06-08","1999-06-19","🇨🇦"
"331","Sofia Jakobsson","Sweden",7,0,"2012-07-31","2019-07-06","🇸🇪"
"332","Stefanie van der Gragt","Netherlands",7,0,"2019-06-29","2023-08-11","🇳🇱"
"333","Teona Bakradze","Georgia",7,0,"2024-04-05","2024-06-04","🇬🇪"
"334","Teresa Abelleira","Spain",7,0,"2023-07-26","2024-07-16","🇪🇸"
"335","Unni Lehn","Norway",7,0,"1999-06-23","1999-06-23","🇳🇴"
"336","Vicki Bècho","France",7,0,"2023-08-02","2024-07-16","🇫🇷"
"337","Abby Erceg","United States",6,0,"2021-07-24","2021-07-24","🇺🇸"
"338","Aggie Beever-Jones","England",6,0,"2025-07-13","2025-07-13","🇬🇧"
"339","Akemi Noda","Japan",6,0,"1995-06-07","1996-07-21","🇯🇵"
"340","Alayah Pilgrim","Switzerland",6,0,"2024-04-09","2025-07-06","🇨🇭"
"341","Alicia Barker","Norway",6,0,"2023-07-30","2023-07-30","🇳🇴"
"342","Anouschka Bernhard","Germany",6,0,"1995-06-09","1995-06-09","🇩🇪"
"343","Aoife Mannion","Republic of Ireland",6,0,"2024-10-25","2024-10-25","🇮🇪"
"344","Brandi Chastain","United States",6,0,"1999-07-01","2000-09-20","🇺🇸"
"345","C. J. Bott","United States",6,0,"2021-07-24","2021-07-24","🇺🇸"
"346","Cat Whitehill","United States",6,0,"2003-09-28","2003-09-28","🇺🇸"
"347","Charmaine Hooper","Canada",6,1,"1999-06-23","2003-10-02","🇨🇦"
"348","Christine Manie","Cameroon",6,1,"2015-06-08","2015-06-08","🇨🇲"
"349","Clare Polkinghorne","Australia",6,0,"2016-08-09","2016-08-09","🇦🇺"
"350","Clàudia Pina","Spain",6,0,"2025-07-07","2025-07-07","🇪🇸"
"351","Daniela Sabatino","Italy",6,0,"2017-07-25","2017-07-25","🇮🇹"
"352","Emőke Pápai","Hungary",6,0,"2024-06-04","2024-07-12","🇭🇺"
"353","Eunice Chibanda","Germany",6,0,"2016-08-03","2016-08-03","🇩🇪"
"354","Eva González","England",6,0,"2007-09-17","2007-09-17","🇬🇧"
"355","Feriana Ferraguzzi","Italy",6,0,"1989-06-30","1991-11-17","🇮🇹"
"356","Florentina Spânu","Romania",6,0,"2024-07-12","2024-07-16","🇷🇴"
"357","Gillian Coultard","England",6,1,"1995-06-06","1995-06-06","🇬🇧"
"358","Gro Espeseth","Norway",6,0,"1995-06-13","2000-09-28","🇳🇴"
"359","Gunilla Axén","Sweden",6,0,"1987-06-11","1987-06-11","🇸🇪"
"360","Hanane Aït El Haj","Germany",6,0,"2023-07-24","2023-07-24","🇩🇪"
"361","Helena Božić","Montenegro",6,0,"2024-04-05","2024-04-05","🇲🇪"
"362","Hlín Eiríksdóttir","Iceland",6,0,"2024-04-09","2025-07-10","🇮🇸"
"363","Jensa Tórolvsdóttir","Faroe Islands",6,0,"2024-07-12","2024-07-16","🇫🇴"
"364","Jessie Fleming","Canada",6,2,"2019-06-15","2024-07-28","🇨🇦"
"365","Jessie Stapleton","Republic of Ireland",6,0,"2024-10-25","2024-10-25","🇮🇪"
"366","Jordan Nobbs","England",6,0,"2017-07-19","2017-07-19","🇬🇧"
"367","Kara Lang","Canada",6,0,"2003-09-27","2008-08-06","🇨🇦"
"368","Kim Kulig","Germany",6,0,"2009-09-10","2009-09-10","🇩🇪"
"369","Lana Golob","Slovenia",6,0,"2024-05-31","2024-05-31","🇸🇮"
"370","Lilli Purtscheller","Austria",6,0,"2024-04-09","2024-10-25","🇦🇹"
"371","Lindsay Tarpley","United States",6,0,"2004-08-26","2008-08-12","🇺🇸"
"372","Lynn Williams","United States",6,0,"2021-07-30","2024-07-28","🇺🇸"
"373","Léa Le Garrec","France",6,0,"2023-08-02","2023-08-02","🇫🇷"
"374","Malin Swedberg","Sweden",6,0,"1996-07-25","1996-07-25","🇸🇪"
"375","Marissa Sheva","Republic of Ireland",6,0,"2024-10-25","2024-10-25","🇮🇪"
"376","Maëlle Lakrar","France",6,0,"2023-08-02","2023-08-02","🇫🇷"
"377","Miljana Ivanović","Serbia",6,0,"2024-05-31","2024-06-04","🇷🇸"
"378","Ngambo Musole","Australia",6,0,"2024-07-28","2024-07-28","🇦🇺"
"379","Nkiru Okosieme","Nigeria",6,0,"1999-06-24","1999-07-01","🇳🇬"
"380","Orathai Srimanee","Thailand",6,0,"2015-06-11","2015-06-11","🇹🇭"
"381","Rachel Daly","England",6,0,"2023-08-01","2023-08-01","🇬🇧"
"382","Rimantė Jonušaitė","Lithuania",6,0,"2024-04-05","2024-07-12","🇱🇹"
"383","Roksolana Kravchuk","Ukraine",6,0,"2024-07-12","2024-07-16","🇺🇦"
"384","Sara Agrež","Slovenia",6,0,"2024-05-31","2024-05-31","🇸🇮"
"385","Sofia Kongouli","Greece",6,0,"2024-07-16","2024-07-16","🇬🇷"
"386","Tamila Khimich","Ukraine",6,0,"2024-04-05","2024-07-12","🇺🇦"
"387","Thembi Kgatlana","South Africa",6,0,"2019-06-08","2023-08-02","🇿🇦"
"388","Trinity Rodman","United States",6,0,"2024-07-25","2024-08-03","🇺🇸"
"389","Trude Stendal","Norway",6,0,"1987-06-11","1987-06-14","🇳🇴"
"390","Vicky Exley","England",6,1,"2007-09-17","2007-09-17","🇬🇧"
"391","Yūki Nagasato","Japan",6,0,"2007-09-14","2015-07-05","🇯🇵"
"392","Zineb Redouani","Germany",6,0,"2023-07-24","2023-07-24","🇩🇪"
"393","Zsanett Kaján","Hungary",6,0,"2024-07-12","2024-07-16","🇭🇺"
"394","Adaku Okoroafor","Nigeria",5,0,"1995-06-08","1995-06-10","🇳🇬"
"395","Adele Marsiletti","Italy",5,0,"1991-11-17","1991-11-17","🇮🇹"
"396","Ajara Nchout","Cameroon",5,0,"2015-06-12","2019-06-20","🇨🇲"
"397","Alex Greenwood","England",5,1,"2019-06-23","2024-04-09","🇬🇧"
"398","Alina Charlionak","Belarus",5,0,"2024-07-16","2024-07-16","🇧🇾"
"399","Anastasija Poļuhoviča","Latvia",5,0,"2024-04-05","2024-07-12","🇱🇻"
"400","Anastasiya Shuppo","Belarus",5,0,"2024-07-16","2024-07-16","🇧🇾"
"401","Anna Csiki","Hungary",5,0,"2024-07-12","2024-07-12","🇭🇺"
"402","Arianna Caruso","Italy",5,1,"2023-08-02","2025-07-03","🇮🇹"
"403","Athenea del Castillo","Spain",5,0,"2024-07-31","2025-07-11","🇪🇸"
"404","Ayumi Hara","Japan",5,0,"2008-08-12","2008-08-12","🇯🇵"
"405","Barbara Bonansea","Italy",5,0,"2019-06-09","2025-07-22","🇮🇹"
"406","Birthe Hegstad","Norway",5,0,"1991-07-14","1993-07-04","🇳🇴"
"407","Brigitta Gődér","Romania",5,0,"2024-04-05","2024-04-05","🇷🇴"
"408","Camille Catala","France",5,0,"2012-07-28","2012-07-28","🇫🇷"
"409","Carole Costa","Sweden",5,0,"2022-07-17","2022-07-17","🇸🇪"
